MA_diff1,MA_diff2,MACD,SLOPE5,SLOPE15,SLOPE_diff,SKEW10,RSI20,RSI_SIG,BOLL_SIG,KALMAN_SIG
542.8333333,-234.3333333,-144.0439044,-233.5,8.974336167,224.5256638,-2.620449541,0.097808138,1,1,-1
-11,-22,-29.43104247,-78,13.13557386,64.86442614,-3.148857218,0.067949574,1,0,-1
-42.5,79.5,-2.644478009,-50.75,5.9983798,44.7516202,-2.865292353,0.315198906,1,0,-1
153.3333333,-76.83333333,-0.953008323,-106,5.04358498,100.956415,-2.319553654,0.356195339,1,0,-1
81.16666667,-34.16666667,-40.70826306,-46,5.112444691,40.88755531,-3.145024831,0.242228826,1,0,-1
23.16666667,-2.666666667,-59.83253177,-49.5,7.60234512,41.89765488,-2.694746096,0.182524671,1,0,-1
61.66666667,-8.166666667,-3.926685545,-39.5,4.521481992,34.97851801,-2.861417303,0.218321771,1,0,-1
-15.83333333,-27.16666667,-36.96579993,-13.25,4.107462334,9.142537666,-0.555351684,0.286638549,1,0,-1
-10.5,34,43.58599212,-73.5,3.966512473,69.53348753,0.252507888,0.475461932,0,0,-1
26,5.5,124.2000695,-22.5,0.837971027,21.66202897,-3.16227766,0.846291728,-1,0,-1
-286.1666667,-134.3333333,-52.82600889,-50,8.828121369,41.17187863,-1.882651871,0.230913157,1,0,-1
175,-94.5,-53.74832904,-61.75,8.256645484,53.49335452,-1.819990963,0.237456395,1,1,-1
-93.5,-53.5,32.07604125,-47.5,3.324818651,44.17518135,-2.512607883,0.500679468,0,0,-1
34.83333333,-14.83333333,1.942476253,-7.5,6.991468891,0.508531109,-0.864083184,0.36324125,1,1,-1
79,-27,7.938847305,-9.25,4.50778945,4.74221055,-1.9722511,0.424623853,0,1,-1
-0.166666667,-9.833333333,-15.34243911,-20.25,8.25461289,11.99538711,-2.662433002,0.289812092,1,0,-1
24.83333333,-7.833333333,-6.655421347,-19,5.925141962,13.07485804,-3.103082828,0.239306203,1,0,-1
73,-34,-55.0852512,-61.25,4.347831227,56.90216877,-0.543778564,0.245948508,1,0,-1
156.5,-156.5,-34.10047901,-24.75,0.847348387,23.90265161,-0.881930084,0.444178772,0,1,-1
2.333333333,0.666666667,-17.73718484,-24.25,5.314730676,18.93526932,-2.187357493,0.121394742,1,0,-1
120.1666667,-45.16666667,-55.65753099,-41.75,5.82997242,35.92002758,-1.021055067,0.209677593,1,1,-1
-8.666666667,7.166666667,9.486414794,-26.25,3.428236934,22.82176307,-2.192166892,0.381699731,1,0,-1
66.5,-31,100.4137837,85.75,7.031646457,-92.78164646,1.357510081,0.734891131,-1,0,-1
43.83333333,-17.83333333,-32.6953183,-38.75,6.899631392,31.85036861,-1.430448155,0.264413914,1,0,-1
64.33333333,-31.83333333,9.712260658,-49.5,4.524543114,44.97545689,-2.038675406,0.442646493,0,0,-1
-61.33333333,76.33333333,61.34410183,11.5,4.495879211,-15.99587921,0.698279519,0.655427449,-1,-1,-1
-28.5,-5,11.48345754,-20.75,8.332006689,12.41799331,-1.515845057,0.471949691,0,0,-1
-230.6666667,57.66666667,65.85108435,19,4.574052492,-23.57405249,0.586907634,0.646926629,-1,-1,-1
61.83333333,-28.83333333,-58.9887924,-131.5,8.755086355,122.7449136,-1.814982002,0.053212958,1,0,-1
-10.5,4,-12.28465907,-15,6.849235077,8.150764923,-2.720312941,0.169261675,1,0,-1
57.83333333,-31.83333333,18.29395801,-42,1.435359964,40.56464004,-0.942946386,0.255478958,1,0,-1
-69.33333333,32.83333333,4.413058195,-17,8.083587588,8.916412412,-2.644049865,0.424876842,0,0,-1
74.83333333,-30.33333333,-73.0847832,-44.75,3.934347642,40.81565236,0.176532058,0.281994395,1,0,-1
9.666666667,52.33333333,-14.69182942,-44,8.895033331,35.10496667,-2.264590646,0.293337531,1,0,-1
2.166666667,-18.16666667,-15.66343017,-33.5,6.291258981,27.20874102,-1.060793409,0.228777593,1,0,-1
