0,1,2,3,4,5,6,7,8,9,10,11,12
-38.5,-2,5.304765688,1.936312253,1,9,8.245089556,-17.24508956,2.406579727,0.777564424,-1,-1,-1
-33.5,-9.5,6.59263622,1.798335959,0.933333333,9.25,6.61251963,-15.86251963,1.478313535,0.700388221,-1,-1,-1
15.33333333,-10.83333333,0.071923843,0.021492927,0.066666667,-14.25,7.438212688,6.811787312,-0.505986306,0.449920056,0,1,-1
-10.33333333,0.333333333,0.156771328,-0.098880805,0.2,4.5,4.225758737,-8.725758737,0.197955125,0.540671787,0,-1,-1
-7.166666667,-0.833333333,-0.132225286,-1.492257486,0.066666667,0,4.159193505,-4.159193505,1.035098339,0.333621248,1,-1,-1
-4,0,5.565875435,1.377607156,1,4.5,7.623507337,-12.12350734,1.492632327,0.812283171,-1,0,-1
-7.333333333,-0.666666667,6.934962798,0.965363415,0.066666667,0.5,4.223805561,-4.723805561,-0.389108384,0.656861831,-1,-1,-1
-8.333333333,0.333333333,5.217628913,1.024514176,0.066666667,0,4.161393813,-4.161393813,-0.741768834,0.750250631,-1,-1,-1
-15.5,6.5,13.56028099,2.791444682,0.8,25.5,7.254809934,-32.75480993,1.254028369,0.947108117,-1,0,-1
-15.66666667,4.666666667,12.15080952,1.164041009,0.8,6,6.715291108,-12.71529111,0.098658517,0.794069285,-1,-1,-1
-9.166666667,2.666666667,12.38308302,1.120029637,0.733333333,4,6.126052577,-10.12605258,0.168728204,0.772110706,-1,-1,-1
-25,13,-2.449112755,0.885155812,0.066666667,1,3.942208238,-4.942208238,-0.013931687,0.333733805,1,-1,-1
-6.333333333,-1.166666667,-6.453084517,1.368250995,0.666666667,-3.5,5.686880915,-2.186880915,-0.486388299,0.124974987,1,0,-1
-10.5,0,3.840711589,1.350843384,0.733333333,2.5,5.47103103,-7.97103103,0.322013253,1,-1,-1,-1
2.5,-5,3.91366258,1.401925785,0.8,3,6.079438837,-9.079438837,0.488318828,0.846213591,-1,0,-1
-7.5,-1,6.675071052,1.230238443,0.733333333,3.75,5.336503934,-9.086503934,0.459711264,0.727322176,-1,-1,-1
-25.5,12,2.930877039,1.377532239,0.666666667,2,4.83148822,-6.83148822,0.913681464,0.800037681,-1,-1,-1
-11.33333333,1.833333333,0.055814287,0.03929781,0.066666667,-3.75,5.050755168,-1.300755168,-0.005681171,0.450440416,0,0,-1
2,-9,-1.144737136,1.387290143,0.8,0,2.604184296,-2.604184296,0.484122918,0,1,0,-1
-0.666666667,-4.333333333,2.08947165,1.142986758,0.733333333,-0.25,5.730294339,-5.480294339,0.252523207,0.625205168,-1,0,-1
-8.666666667,0.666666667,2.61929561,1.455675826,1,2.5,6.406612638,-8.906612638,1.017941299,0.687673567,-1,-1,-1
-12,3,3.440293594,0.8787979,0.066666667,-0.5,7.265742553,-6.765742553,1.178511302,0.64320481,-1,-1,-1
-16.33333333,11.83333333,-2.141610747,2.432665399,0.933333333,-2.75,3.528601614,-0.778601614,-0.847683897,0.357332469,1,-1,-1
-37.33333333,6.333333333,-7.587321636,1.177605085,0.4,-2,3.902633679,-1.902633679,-0.041735308,0.250271925,1,-1,-1
-12.33333333,-1.666666667,-13.79031752,1.364639927,0.8,-10,5.584493249,4.415506751,-0.719563137,0.174881014,1,0,-1
-11,5,-16.94582258,0.930199369,0.066666667,1.5,3.737404383,-5.237404383,-2.364135172,0.33054958,1,0,-1
-1.666666667,-3.333333333,-0.240250794,0.567924303,0.466666667,0,4.705759691,-4.705759691,1.035098339,0.500315259,0,0,-1
-5,0,-3.291402938,1.160431249,0.4,-0.5,3.542936303,-3.042936303,0.913681464,0,1,0,-1
-5.333333333,-2.166666667,-0.369272697,-0.859816478,0.133333333,-1.5,3.706418919,-2.206418919,0,0.500315856,0,0,-1
-32.66666667,24.16666667,-2.908644411,1.090848613,0.733333333,-1,7.579639743,-6.579639743,-1.778781184,0.300222144,1,-1,-1
-30.33333333,17.33333333,-5.610663238,1.273026721,0.8,-2.5,5.927368058,-3.427368058,-0.305503845,0.200008339,1,-1,-1
-22.33333333,1.333333333,-8.928077049,1.278391447,0.666666667,-4.75,5.369434005,-0.619434005,-0.234972109,0.182214121,1,0,-1
-14.66666667,-6.833333333,-10.87380015,1.203124444,0.466666667,-2.5,4.930134876,-2.430134876,0.028614208,0.154069196,1,0,-1
-1,-8.5,-12.5656595,1.236955307,0.466666667,-5,4.994964735,0.005035265,-0.51644664,0.125027265,1,0,-1
-2.166666667,-2.333333333,-0.194942447,0.990298257,0.466666667,0,0,0,0,0,1,-1,-1
